Iteration;MP2_0315_Hole_256;Iteration;CF_dark_1;Iteration;Tile_Crack;Iteration;Cable_Missing;Iteration;Pul_Resin;Iteration;Severstal_Steel;
59;-0,00199341;	59;-0,00294725;	59;-0,011359;	59;0;	59;-0,0285169;	59;-0,0068341;
58;-0,00568585;	58;-0,000859728;	58;-0,0018445;	58;-0,0299445;	58;-0,0433364;	58;-0,00553591;
57;-0,0090245;	57;-0,00480608;	57;-0,00389226;	57;-6,60492e-005;	57;-0,040688;	57;-0,0105699;
56;-0,0176174;	56;0;	56;-0,0117979;	56;-0,0139095;	56;-0,000787828;	56;2,3985e-007;
55;-0,005643;	55;-6,08786e-005;	55;-0,0212294;	55;-0,0335068;	55;-0,017788;	55;-0,000990779;
54;-0,0113761;	54;-0,0014281;	54;0;	54;-0,0351013;	54;-0,0858179;	54;-0,0261964;
53;-0,00709051;	53;0;	53;-0,0123568;	53;-0,00329216;	53;-0,00750423;	53;-0,00386573;
52;-0,0151993;	52;0;	52;-0,00230757;	52;-0,00608677;	52;-0,00685922;	52;-0,012624;
51;-0,00696584;	51;-0,00226244;	51;-0,0305025;	51;-0,017532;	51;-0,0513756;	51;-0,0508104;
50;-0,0113131;	50;-0,000827203;	50;1,33877e-007;	50;-0,0193748;	50;-0,0171587;	50;2,15656e-007;
49;-0,0126874;	49;-0,000167639;	49;-0,0168308;	49;-0,00218579;	49;-0,0347638;	49;-0,00496449;
48;-0,0168661;	48;-0,000903863;	48;-0,017807;	48;-0,0106535;	48;-0,0106245;	48;-0,00515085;
47;-0,0108526;	47;-0,00131141;	47;-0,00804075;	47;0;	47;-0,0189563;	47;-0,0137671;
46;-0,00642664;	46;1,49772e-008;	46;-0,00775766;	46;7,40749e-008;	46;-0,0310054;	46;-0,0145044;
45;-0,0142839;	45;0;	45;-0,00635963;	45;-0,0458612;	45;-0,00743021;	45;-0,0221053;
44;-0,00606373;	44;-0,000731202;	44;-0,077278;	44;-0,00126964;	44;-0,00393842;	44;1,6673e-008;
43;-0,0146331;	43;-1,70444e-006;	43;-0,0042;	43;8,70955e-008;	43;-0,0156057;	43;-0,00344741;
42;-0,00650587;	42;-0,000333065;	42;-0,00505252;	42;-0,00969768;	42;-0,0696168;	42;-0,00233917;
41;-0,0148906;	41;-0,000314384;	41;0;	41;-0,0184602;	41;-0,0228189;	41;-0,00922342;
40;-0,0203543;	40;-0,00229063;	40;-0,0118058;	40;3,74525e-007;	40;-0,00936585;	40;-0,0423593;
39;-0,00853806;	39;-0,00144035;	39;-0,0082785;	39;-0,0210946;	39;-0,0536029;	39;-0,00399103;
38;-0,0114082;	38;-0,00268807;	38;-0,00441206;	38;-0,0430264;	38;-0,0298915;	38;-0,00172735;
37;-0,00556493;	37;0;	37;1,21784e-007;	37;0;	37;-0,00243442;	37;-7,70213e-005;
36;-0,00622029;	36;1,94755e-008;	36;-0,00285282;	36;9,12504e-008;	36;-0,00723171;	36;-0,000545834;
35;-0,00874166;	35;1,5811e-008;	35;-0,00298016;	35;-0,0244289;	35;-0,0329895;	35;-0,00456883;
34;-0,0162242;	34;1,54719e-008;	34;-0,000342427;	34;-0,0141324;	34;-0,00488636;	34;-0,0154124;
33;-0,00952402;	33;-0,000778408;	33;-0,000162639;	33;-0,122235;	33;-0,0329211;	33;-0,00709455;
32;-0,00960774;	32;-0,00230743;	32;0;	32;-0,035732;	32;-0,0106645;	32;-0,0143673;
31;-0,00513323;	31;0;	31;-0,00268965;	31;-0,0187216;	31;-0,0218546;	31;-0,0179221;
30;-0,00731703;	30;9,93765e-008;	30;-0,0106411;	30;0;	30;-0,0307806;	30;-0,014782;
29;-0,0124132;	29;-0,0019031;	29;-0,0533945;	29;0;	29;-0,0166608;	29;-0,0196596;
28;-0,0117491;	28;-7,14398e-005;	28;-0,0103797;	28;-0,000369605;	28;-0,0115321;	28;-0,0110479;
27;-0,0143681;	27;0;	27;-0,0176784;	27;0;	27;-0,0245513;	27;-0,000451014;
26;-0,00775468;	26;-0,00198393;	26;0;	26;-0,0274111;	26;-0,00970452;	26;-0,0111006;
25;-0,00849318;	25;7,30724e-009;	25;-0,00784474;	25;-0,0120187;	25;1,00709e-006;	25;-0,0144436;
24;-0,00512969;	24;0;	24;-3,56299e-005;	24;1,35827e-008;	24;-0,00926984;	24;-0,069937;
23;-0,00845626;	23;-0,00187925;	23;-0,00769917;	23;1,5225e-006;	23;-0,0356555;	23;-0,00684102;
22;-0,00731765;	22;2,11048e-008;	22;-0,00335299;	22;-0,0465716;	22;-0,0412038;	22;-0,0074972;
21;-0,00933611;	21;0;	21;-0,0103294;	21;-0,0141059;	21;-0,00346783;	21;-0,0059816;
20;-0,00400852;	20;0;	20;-0,00293577;	20;-0,00847044;	20;-0,0134292;	20;-0,0171559;
19;-0,0104068;	19;-0,000696715;	19;-0,00416249;	19;-0,00733725;	19;-0,00193727;	19;-0,0263216;
18;-0,0161179;	18;3,45545e-009;	18;-0,000611798;	18;-0,00256132;	18;-0,0139023;	18;-0,00613301;
17;-0,0111611;	17;0;	17;-0,00418793;	17;0;	17;-0,0143715;	17;-0,0349404;
