Metric: entropy_arr
| Dataset    | Avg. Fit. | Entropy | # Images |
| tile_crack | 0.5549096597530526 | 98.80470479312106 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 20.45277275018329 | 5 |
| wood_scratch | 0.375791355016471 | 97.99937452057537 | 9 |
| zipper | 0.28612142322204837 | 50.90546531341642 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 67.87434339163674 | 57 |
| resin_cgp | 0.4194555239730826 | 161.03457507932427 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 168.7395624303233 | 20 |
| window_cgp | 0.5404131094476052 | 305.45373829431435 | 20 |
| severstal | 0.20878441083697966 | 97.56114205493016 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 484.33520062537764 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 283.24138122457293 | 0 |
| toothbrush_small | 0.2134207678318056 | 33.12484360362699 | 12 |
| CF_RefSet | 0.18715859707154983 | 388.80778695684813 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 96.5614660965267 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 77.0546616361288 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 72.35717877847591 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 363.5042244816002 | 105 |
| spule-upside-hole | 0.18286907955278595 | 343.68754403152934 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 462.5191733101561 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 585.4124258247775 | 7 |
| carpet | 0.3026647209895258 | 78.8302098129735 | 10 |
| crack_forest | 0.35524891470479414 | 178.44739934108486 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: edge_density
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 0.0025107210332697086 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 0.0006490349769592285 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 0.010608181357383728 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 0.016352951526641846 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 0.012944310903549194 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 0.1398970365524292 | 20 |
| kos10 | 0.07770983260550123 | 0.0008881545722811921 | 8 |
| bottle_large | 0.26225513731343236 | 0.004418209876543211 | 10 |
| bottle_small | 0.28464968029224386 | 0.005093434343434344 | 11 |
| cable_missing_train | 0.6728396354139807 | 0.004465738932291667 | 6 |
| capsule | 0.15132567662349938 | 0.0009065500000000002 | 10 |
| grid_thread | 0.22575435337960606 | 0.017618656158447266 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 0.0022987789577907985 | 9 |
| leather | 0.3542320590261696 | 0.010924863815307616 | 10 |
| metal_nut | 0.11186050396653803 | 0.008300834879406308 | 11 |
| pill | 0.3568444599584175 | 0.0019576923076923074 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 0.0024003187815348306 | 12 |
| tile_crack | 0.5549096597530526 | 0.008137135062358277 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 0.004533958435058594 | 5 |
| wood_scratch | 0.375791355016471 | 0.012771500481499566 | 9 |
| zipper | 0.28612142322204837 | 0.005858898162841797 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 0.01072564473246795 | 57 |
| resin_cgp | 0.4194555239730826 | 0.025216880341880334 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 0.026803333333333335 | 20 |
| window_cgp | 0.5404131094476052 | 0.02889833333333334 | 20 |
| severstal | 0.20878441083697966 | 0.017614746093750005 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 0.044444974312986385 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 0.038667777766029435 | 0 |
| toothbrush_small | 0.2134207678318056 | 0.00507505734761556 | 12 |
| CF_RefSet | 0.18715859707154983 | 0.0926078647423225 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 0.005050725415070243 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 0.00309792160987854 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 0.005812644958496094 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 0.038352017758708536 | 105 |
| spule-upside-hole | 0.18286907955278595 | 0.039523527124144635 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 0.056926269203676376 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 0.11546990420326589 | 7 |
| carpet | 0.3026647209895258 | 0.07927789688110351 | 10 |
| crack_forest | 0.35524891470479414 | 0.06757539787631155 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: laplacian_variance
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 125.90620737102692 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 66.83721625905261 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 191.6321869482709 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 695.7142710802868 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 213.66832301616034 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 652.1129415184482 | 20 |
| kos10 | 0.07770983260550123 | 32.598040889767624 | 8 |
| bottle_large | 0.26225513731343236 | 342.24698543209877 | 10 |
| bottle_small | 0.28464968029224386 | 149.7062881032548 | 11 |
| cable_missing_train | 0.6728396354139807 | 134.64365715177078 | 6 |
| capsule | 0.15132567662349938 | 61.01953562869371 | 10 |
| grid_thread | 0.22575435337960606 | 208.25601267476836 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 196.64539742519673 | 9 |
| leather | 0.3542320590261696 | 93.15155909382307 | 10 |
| metal_nut | 0.11186050396653803 | 147.3252609218017 | 11 |
| pill | 0.3568444599584175 | 89.90486351241294 | 13 |
